"uri,primary_name_display,replaced"
"http://dx.doi.org/10.13039/100001436,""1675 Foundation"","
"http://dx.doi.org/10.13039/100004343,""3M"","
"http://dx.doi.org/10.13039/501100005957,""8020 Promotion Foundation"","
"http://dx.doi.org/10.13039/501100007139,""A Richer Life Foundation"","
"http://dx.doi.org/10.13039/100006543,""A World Celiac Community Foundation"","
"http://dx.doi.org/10.13039/100001962,""A-T Children's Project"","
"http://dx.doi.org/10.13039/100008456,""A. Alfred Taubman Medical Research Institute"","
"http://dx.doi.org/10.13039/100001615,""A. E. Finley Foundation"","
"http://dx.doi.org/10.13039/100008639,""A. James Clark School of Engineering"","
"http://dx.doi.org/10.13039/100001781,""A. Lindsay and Olive B. O'Connor Foundation"","
"http://dx.doi.org/10.13039/100008612,""A.B. de Lautour Charitable Trust"","
"http://dx.doi.org/10.13039/501100004117,""A.G. Leventis Foundation"","
"http://dx.doi.org/10.13039/501100006448,""A.H. Schultz-Stiftung zur FÃ¶rderung Primatologischer Forschung"","
"http://dx.doi.org/10.13039/100001733,""A.L. Mailman Family Foundation"","
"http://dx.doi.org/10.13039/100002112,""A.P. Giannini Foundation"","
"http://dx.doi.org/10.13039/501100005747,""A.P. MÃ¸ller og Hustru Chastine Mc-Kinney MÃ¸llers Fond til almene Formaal"","
"http://dx.doi.org/10.13039/100003550,""AAA Foundation for Traffic Safety"","
"http://dx.doi.org/10.13039/100006329,""AABB"","
"http://dx.doi.org/10.13039/100006356,""AACC International"","
"http://dx.doi.org/10.13039/100006323,""AACCI Foundation"",R"
"http://dx.doi.org/10.13039/100006357,""AACCI Foundation"","
"http://dx.doi.org/10.13039/100002543,""AAEP Foundation"",R"
"http://dx.doi.org/10.13039/501100005188,""AAIR Charity"","
"http://dx.doi.org/10.13039/100009444,""AARP Foundation"","
"http://dx.doi.org/10.13039/100008598,""AAUP Foundation"","
"http://dx.doi.org/10.13039/501100002670,""ABB"","
"http://dx.doi.org/10.13039/501100000314,""ABBEY AWARDS"","
"http://dx.doi.org/10.13039/100001443,""ABMRF/The Foundation for Alcohol Research"","
"http://dx.doi.org/10.13039/100008346,""AC3"","
"http://dx.doi.org/10.13039/100004442,""ACCCA"","
"http://dx.doi.org/10.13039/100005647,""ACG Institute for Clinical Research and Education"","
"http://dx.doi.org/10.13039/100005358,""ACMG Foundation for Genetic and Genomic Medicine"","
"http://dx.doi.org/10.13039/501100001139,""ACT Health"","
"http://dx.doi.org/10.13039/100008773,""ACT Herpetological Association"","
"http://dx.doi.org/10.13039/100001440,""ADA Foundation"","
"http://dx.doi.org/10.13039/100005322,""ADC Foundation"","
"http://dx.doi.org/10.13039/100002792,""ADELE R. DECOF FOUNDATION"","
"http://dx.doi.org/10.13039/100001442,""AEC Trust"","
"http://dx.doi.org/10.13039/100003558,""AEG Foundation"","
"http://dx.doi.org/10.13039/100007532,""AES Brasil"","
"http://dx.doi.org/10.13039/100007531,""AES Corporation"","
"http://dx.doi.org/10.13039/100007533,""AES Sul"","
"http://dx.doi.org/10.13039/501100002706,""AFA FÃ¶rsÃ_kring"","
"http://dx.doi.org/10.13039/501100002707,""AFC Technologies"","
"http://dx.doi.org/10.13039/100005325,""AFCEA Educational Foundation"","
"http://dx.doi.org/10.13039/501100004923,""AFM-TÃ©lÃ©thon"","
"http://dx.doi.org/10.13039/100007525,""AG Bell Academy for Listening and Spoken Language"","
"http://dx.doi.org/10.13039/100006083,""AGA Research Foundation"","
"http://dx.doi.org/10.13039/100002098,""AGS Foundation for Health in Aging"","
"http://dx.doi.org/10.13039/100005327,""AHIMA Foundation"","
"http://dx.doi.org/10.13039/100005328,""AIAA Foundation"","
"http://dx.doi.org/10.13039/100006392,""AIDS Clinical Trials Group"","
"http://dx.doi.org/10.13039/501100005932,""AIDS Fondet"","
"http://dx.doi.org/10.13039/100007554,""AIDS Life"","
"http://dx.doi.org/10.13039/100007552,""AIM at Melanoma"","
"http://dx.doi.org/10.13039/100005305,""AIST Foundation"","
"http://dx.doi.org/10.13039/100003583,""AJCC Research Foundation"","
"http://dx.doi.org/10.13039/100002556,""AJS Foundation for Metabolic Diseases"","
"http://dx.doi.org/10.13039/100002561,""ALS Hope Foundation"","
"http://dx.doi.org/10.13039/100006401,""ALS Recovery Fund"","
"http://dx.doi.org/10.13039/100009017,""ALS Society of Canada"","
"http://dx.doi.org/10.13039/100006402,""ALS Therapy Alliance"","
"http://dx.doi.org/10.13039/100003566,""ALS Therapy Development Institute"","
"http://dx.doi.org/10.13039/100005336,""AMBUCS"","
"http://dx.doi.org/10.13039/100005160,""AMERICAN SOCIETY OF TRANSPLANTATION"","
"http://dx.doi.org/10.13039/100006607,""AMX"","
"http://dx.doi.org/10.13039/501100001702,""AO Foundation"","
"http://dx.doi.org/10.13039/100001473,""AO North America"","
"http://dx.doi.org/10.13039/100004673,""AOL"","
"http://dx.doi.org/10.13039/100002617,""AORN Foundation"","
"http://dx.doi.org/10.13039/501100002732,""AOSpine"","
"http://dx.doi.org/10.13039/501100001901,""ARA Conference, Australian Rheumatology Association"","
"http://dx.doi.org/10.13039/501100006105,""ARC Centre of Excellence for Coherent X-Ray Science"","
"http://dx.doi.org/10.13039/100006665,""ARC of the Piedmont"","
"http://dx.doi.org/10.13039/100008351,""ARISE-The Scoliosis Research Trust"","
"http://dx.doi.org/10.13039/100006325,""ARVO Foundation for Eye Research"","
"http://dx.doi.org/10.13039/100008233,""ASAE Foundation"","
"http://dx.doi.org/10.13039/100006092,""ASCLS Education and Research Fund"","
"http://dx.doi.org/10.13039/100005930,""ASCRS Research Foundation"","
"http://dx.doi.org/10.13039/100001959,""ASDA Foundation"","
"http://dx.doi.org/10.13039/501100007276,""ASELSAN"","
"http://dx.doi.org/10.13039/100001948,""ASHP Research and Education Foundation"","
"http://dx.doi.org/10.13039/100002601,""ASIS Foundation"","
"http://dx.doi.org/10.13039/501100006339,""ASML"","
"http://dx.doi.org/10.13039/100009257,""ASN Foundation for Kidney Research"","
"http://dx.doi.org/10.13039/100007692,""ASSAB Pacific"","
"http://dx.doi.org/10.13039/100004347,""AT and T"","
"http://dx.doi.org/10.13039/501100004959,""AUTO21 Network of Centres of Excellence"","
"http://dx.doi.org/10.13039/100007694,""AVRDC - The World Vegetable Center"","
"http://dx.doi.org/10.13039/501100001117,""AW Howard Memorial Trust"","
"http://dx.doi.org/10.13039/501100001961,""AXA Research Fund"","
"http://dx.doi.org/10.13039/100007751,""AXISCADES"","
"http://dx.doi.org/10.13039/501100002357,""AZTI-Tecnalia"","
"http://dx.doi.org/10.13039/501100002721,""Aage V. Jensens Fonde"","
"http://dx.doi.org/10.13039/501100003131,""Aalborg Samarbejdet"","
"http://dx.doi.org/10.13039/501100002702,""Aalborg Universitet"","
"http://dx.doi.org/10.13039/501100006304,""Aalborg Universitetshospital"","
"http://dx.doi.org/10.13039/501100002666,""Aalto-yliopisto"","
"http://dx.doi.org/10.13039/100007605,""Aarhus Universitet"","
"http://dx.doi.org/10.13039/501100002739,""Aarhus Universitets Forskningsfond"","
"http://dx.doi.org/10.13039/100007606,""Aarhus Universitetshospital"","
"http://dx.doi.org/10.13039/501100007361,""Aarne ja Aili Turusen SÃ_Ã_tiÃ¶"","
"http://dx.doi.org/10.13039/100005659,""Aaron Copland Fund for Music"","
"http://dx.doi.org/10.13039/501100003035,""Aase og Ejnar Danielsens Fond"","
"http://dx.doi.org/10.13039/501100002668,""Abant Izzet Baysal Ãœniversitesi"","
"http://dx.doi.org/10.13039/100006483,""AbbVie"","
"http://dx.doi.org/10.13039/100006484,""AbbVie Deutschland"","
"http://dx.doi.org/10.13039/100008800,""Abbott Animal Health"","
"http://dx.doi.org/10.13039/100009014,""Abbott Canada"","
"http://dx.doi.org/10.13039/100000046,""Abbott Fund"","
"http://dx.doi.org/10.13039/100009015,""Abbott Japan"","
"http://dx.doi.org/10.13039/100008977,""Abbott Korea"","
"http://dx.doi.org/10.13039/100001316,""Abbott Laboratories"","
"http://dx.doi.org/10.13039/501100004684,""Abdul Wali Khan University Mardan"","
"http://dx.doi.org/10.13039/501100001681,""Abdus Salam International Centre for Theoretical Physics"","
"http://dx.doi.org/10.13039/100006684,""Abe Belsky Foundation"","
"http://dx.doi.org/10.13039/100005317,""Abell Foundation"","
"http://dx.doi.org/10.13039/100000939,""Abell-Hanger Foundation"","
"http://dx.doi.org/10.13039/100008726,""Abercrombie Foundation"","
"http://dx.doi.org/10.13039/501100000315,""Aberystwyth University"","
"http://dx.doi.org/10.13039/501100007362,""Abisch-Frenkel-Stiftung"","
"http://dx.doi.org/10.13039/100001437,""Abney Foundation"","
"http://dx.doi.org/10.13039/501100006281,""Aboca S.p.A. SocietÃ  Agricola"","
"http://dx.doi.org/10.13039/501100000047,""Aboriginal Affairs and Northern Development Canada"","
"http://dx.doi.org/10.13039/100008435,""Abramson Family Cancer Research Institute"","
"http://dx.doi.org/10.13039/100008769,""Abt Associates"","
"http://dx.doi.org/10.13039/501100002672,""Abu Dhabi National Oil Company"","
"http://dx.doi.org/10.13039/501100002676,""Abwasserverband Achental-Inntal-Zillertal"","
"http://dx.doi.org/10.13039/100001408,""Acacia Foundation"","
"http://dx.doi.org/10.13039/501100006476,""Academia RomÃ¢na"","
"http://dx.doi.org/10.13039/501100001869,""Academia Sinica"","
"http://dx.doi.org/10.13039/501100005013,""Academic Center for Education, Culture and Research"","
"http://dx.doi.org/10.13039/100009035,""Academic Senate, University of California, Riverside"","
"http://dx.doi.org/10.13039/501100005870,""Academic Swiss Caucasus Net"","
"http://dx.doi.org/10.13039/501100003180,""Academisch Medisch Centrum"","
"http://dx.doi.org/10.13039/100005275,""Academy of American Poets"","
"http://dx.doi.org/10.13039/100008532,""Academy of Architecture for Health"","
"http://dx.doi.org/10.13039/100008437,""Academy of Architecture for Health Foundation"","
"http://dx.doi.org/10.13039/501100001265,""Academy of Medical Royal Colleges"","
"http://dx.doi.org/10.13039/501100000691,""Academy of Medical Sciences"","
"http://dx.doi.org/10.13039/100005318,""Academy of Motion Picture Arts and Sciences"","
"http://dx.doi.org/10.13039/100005319,""Academy of Natural Sciences of Drexel University"","
"http://dx.doi.org/10.13039/100006110,""Academy of Nutrition and Dietetics Foundation"","
"http://dx.doi.org/10.13039/100008528,""Academy of Osseointegration"","
"http://dx.doi.org/10.13039/501100001330,""Academy of Science of South Africa"","
"http://dx.doi.org/10.13039/501100002673,""Academy of Sciences Republic of Uzbekistan"","
"http://dx.doi.org/10.13039/501100001689,""Academy of Sciences for the Developing World"","
"http://dx.doi.org/10.13039/501100002349,""Academy of Scientific Research and Technology"","
"http://dx.doi.org/10.13039/100006217,""Academy of Television Arts and Sciences Foundation"","
"http://dx.doi.org/10.13039/501100001050,""Academy of the Social Sciences in Australia"","
"http://dx.doi.org/10.13039/100005320,""AcademyHealth"","
"http://dx.doi.org/10.13039/100009427,""Acadia University"","
"http://dx.doi.org/10.13039/501100003476,""AcadÃ©mie Hassan IIÂ des Sciences et Techniques"","
"http://dx.doi.org/10.13039/100008754,""AcadÃ©mie de MÃ©decine VÃ©tÃ©rinaire du QuÃ©bec"","
"http://dx.doi.org/10.13039/501100003291,""Accare"","
"http://dx.doi.org/10.13039/100001438,""Accelerate Brain Cancer Cure"","
"http://dx.doi.org/10.13039/100004672,""Accenture"","
"http://dx.doi.org/10.13039/100006486,""Acceptys"","
"http://dx.doi.org/10.13039/100007598,""Accident Compensation Corporation"","
"http://dx.doi.org/10.13039/501100001545,""Accounting and Finance Association of Australia and New Zealand"","
"http://dx.doi.org/10.13039/501100002675,""Acharya N.G.Ranga Agricultural University"","
"http://dx.doi.org/10.13039/100001439,""Achelis Foundation"","
"http://dx.doi.org/10.13039/100008227,""Achievement Rewards for College Scientists Foundation"","
"http://dx.doi.org/10.13039/501100007344,""Achmea"","
"http://dx.doi.org/10.13039/100005299,""Acoustical Society of America"","
"http://dx.doi.org/10.13039/501100006743,""Actavis Deutschland"","
"http://dx.doi.org/10.13039/100005646,""Actelion Pharmaceuticals"","
"http://dx.doi.org/10.13039/501100000316,""Action Cancer"","
"http://dx.doi.org/10.13039/501100001266,""Action Duchenne"","
"http://dx.doi.org/10.13039/501100006672,""Action LIONS Vaincre le Cancer"","
"http://dx.doi.org/10.13039/501100000317,""Action Medical Research"","
"http://dx.doi.org/10.13039/100006723,""Action for Boston Community Development"","
"http://dx.doi.org/10.13039/501100001982,""Action for M.E."","
"http://dx.doi.org/10.13039/501100000703,""Action on Hearing Loss"","
"http://dx.doi.org/10.13039/100003561,""Activities Integrating Math and Science Education Foundation"","
"http://dx.doi.org/10.13039/501100002677,""ActoGeniX"","
"http://dx.doi.org/10.13039/100007547,""Actualis"","
"http://dx.doi.org/10.13039/100007399,""Actuarial Foundation"","
"http://dx.doi.org/10.13039/501100001307,""Actuarial Profession"","
"http://dx.doi.org/10.13039/100006385,""Acxiom"","
